"","Select characteristics...1","Total","device_always","device_usually","device_sometimes","device_rarely","device_never","device_nr","internet_always","internet_usually","internet_sometimes","internet_rarely","internet_never","internet_nr","State","Week"
"123","int_home",8164796,6150974,1259008,547350,154749,50817,1898,6406215,1458097,213566,86918,0,0,"CA",1
"124","int_other",41932,10823,14709,1306,15095,0,0,16431,7076,18425,0,0,0,"CA",1
"125","int_nr",363766,124712,38409,5161,1011,19308,175165,159279,1600,0,1583,21125,180180,"CA",1
"126","yes_unemployed",5516178,3946438,995603,309931,83784,52418,128005,4014684,1053458,203972,62888,17915,163261,"CA",1
"127","no_unemployed",3186711,2391880,393409,247586,87071,17708,49058,2619048,492355,29566,25613,3210,16919,"CA",1
"128","unemployed_nr",5336,5336,0,0,0,0,0,5336,0,0,0,0,0,"CA",1
"129","resp_employed_yes",5278796,4164880,683888,248158,88537,28025,65307,4242012,863916,74791,46349,5027,46700,"CA",1
"130","resp_employed_no",3428325,2178773,704019,309358,82318,42100,111756,2397057,680792,158746,42152,16098,133479,"CA",1
"131","resp_employed_nr",1106,0,1106,0,0,0,0,0,1106,0,0,0,0,"CA",1
"132","food_enough_want",5951367,4960455,605092,209643,63522,28163,84493,5037582,683259,107417,51883,5855,65372,"CA",1
"133","food_enough_notwant",1923462,1108757,432579,217555,72701,3161,88709,1332578,417232,32160,28647,1897,110946,"CA",1
"134","food_sometimes",744574,226134,336871,130319,34631,12756,3862,217882,428350,86275,6388,1817,3862,"CA",1
"135","food_notenough",81275,40759,14471,0,0,26045,0,43478,16972,7685,1583,11556,0,"CA",1
"136","food_nr",7549,7549,0,0,0,0,0,7549,0,0,0,0,0,"CA",1
"137","25000>",864206,410476,252657,127791,42059,29325,1898,419949,291755,126202,10122,4542,11636,"CA",1
"138","25000-34999",1073616,698071,299067,28557,38150,9772,0,680990,372733,18076,0,1817,0,"CA",1
"139","35000-49999",1498308,1053074,228131,139013,43386,9512,25191,1198309,231360,18534,24914,0,25191,"CA",1
"140","50000-74999",1209346,1039413,74816,86458,8659,0,0,1045456,137566,7473,18850,0,0,"CA",1
"141","75000-99999",1097534,840244,189706,26994,29033,11556,0,831466,197175,26732,30604,11556,0,"CA",1
"142","100000-149999",1153435,822122,192817,101995,5792,6801,23908,930624,206802,14112,0,1897,0,"CA",1
"143","150000-199999",588001,522371,46764,17019,0,1847,0,525967,56829,3080,2125,0,0,"CA",1
"144","200000<",912588,820145,63837,24530,2764,1312,0,846531,43529,19328,1887,1312,0,"CA",1
"145","income_nr",311192,137738,41218,5161,1011,0,126065,159778,8062,0,0,0,143352,"CA",1
"146","Total",1043504,811741,114464,32252,49640,15195,20212,799740,114420,57053,36692,15387,20212,"CO",1
"147","comp_school",438250,353875,43502,8059,32814,0,0,324346,54401,21245,25607,12650,0,"CO",1
"148","comp_home",686715,581383,71989,22259,11085,0,0,567288,91373,16969,11085,0,0,"CO",1
"149","comp_other",18978,2072,11165,0,5741,0,0,2072,0,16905,0,0,0,"CO",1
"150","comp_nr",38549,1208,0,1934,0,15195,20212,13666,0,1934,0,2737,20212,"CO",1
"151","int_school",35244,35244,0,0,0,0,0,35244,0,0,0,0,0,"CO",1
"152","int_home",923645,741672,104587,27938,36989,12458,0,726718,114420,50130,32378,0,0,"CO",1
"153","int_other",17046,10837,6209,0,0,0,0,12894,0,4153,0,0,0,"CO",1
"154","int_nr",68618,25037,3668,4314,12650,2737,20212,25934,0,2771,4314,15387,20212,"CO",1
"155","yes_unemployed",511774,368332,73533,7812,49640,12458,0,368445,62131,36170,32378,12650,0,"CO",1
"156","no_unemployed",531730,443409,40932,24440,0,2737,20212,431294,52289,20884,4314,2737,20212,"CO",1
"157","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"CO",1
"158","resp_employed_yes",611714,492535,58018,20502,20164,283,20212,488121,58726,23078,21293,283,20212,"CO",1
"159","resp_employed_no",431790,319205,56446,11750,29476,14912,0,311618,55693,33975,15399,15104,0,"CO",1
"160","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"CO",1
"161","food_enough_want",759561,635316,75649,7487,5702,15195,20212,629480,79510,26198,1424,2737,20212,"CO",1
"162","food_enough_notwant",197116,137228,29108,19695,11085,0,0,133796,21174,26746,15399,0,0,"CO",1
"163","food_sometimes",49073,21497,8393,5069,14113,0,0,17449,13735,4109,1130,12650,0,"CO",1
"164","food_notenough",37755,17701,1314,0,18740,0,0,19015,0,0,18740,0,0,"CO",1
"165","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"CO",1
"166","25000>",94374,43393,9966,1662,24441,14912,0,54923,9687,7147,20164,2454,0,"CO",1
"167","25000-34999",86485,45841,23953,8135,8556,0,0,45012,9606,22182,1130,8556,0,"CO",1
"168","35000-49999",90613,72144,12913,5556,0,0,0,62246,21777,6591,0,0,0,"CO",1
"169","50000-74999",117116,98012,14024,986,4095,0,0,98536,12123,2362,0,4095,0,"CO",1
"170","75000-99999",189239,157441,21847,9668,0,283,0,156341,20103,12512,0,283,0,"CO",1
"171","100000-149999",186486,171856,12699,1932,0,0,0,167344,19143,0,0,0,0,"CO",1
"172","150000-199999",97125,73404,12637,0,11085,0,0,76239,9801,0,11085,0,0,"CO",1
"173","200000<",121937,119177,2759,0,0,0,0,109202,10709,2026,0,0,0,"CO",1
"174","income_nr",60130,30473,3668,4314,1463,0,20212,29898,1472,4234,4314,0,20212,"CO",1
"175","Total",728958,549546,134735,38952,1957,0,3767,559920,141034,23275,0,0,4729,"CT",1
"176","comp_school",325017,244431,74912,3718,1957,0,0,255255,61289,8474,0,0,0,"CT",1
"177","comp_home",496781,398151,67029,31601,0,0,0,401669,81239,13872,0,0,0,"CT",1
"178","comp_other",8634,383,900,7351,0,0,0,8634,0,0,0,0,0,"CT",1
"179","comp_nr",6764,2998,0,0,0,0,3767,0,1106,929,0,0,4729,"CT",1
"180","int_school",9576,6689,1957,0,0,0,929,7717,929,929,0,0,0,"CT",1
"181","int_home",663966,491549,130579,38952,1957,0,929,505049,137100,21817,0,0,0,"CT",1
"182","int_other",1167,1167,0,0,0,0,0,1167,0,0,0,0,0,"CT",1
"183","int_nr",59309,54272,2200,0,0,0,2837,49188,3934,1458,0,0,4729,"CT",1
"184","yes_unemployed",457865,344088,88858,22961,1957,0,0,334953,112393,10520,0,0,0,"CT",1
"185","no_unemployed",271093,205458,45877,15991,0,0,3767,224967,28641,12756,0,0,4729,"CT",1
"186","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",1
"187","resp_employed_yes",448060,364400,62715,18107,0,0,2837,359019,65989,18323,0,0,4729,"CT",1
"188","resp_employed_no",279969,185146,72021,20845,1957,0,0,200901,75045,4023,0,0,0,"CT",1
"189","resp_employed_nr",929,0,0,0,0,0,929,0,0,929,0,0,0,"CT",1
"190","food_enough_want",465724,380248,65026,17613,0,0,2837,395461,51866,13668,0,0,4729,"CT",1
"191","food_enough_notwant",170215,108549,49069,11667,0,0,929,90499,73109,6607,0,0,0,"CT",1
"192","food_sometimes",87764,57451,20640,9672,0,0,0,70662,14102,3000,0,0,0,"CT",1
"193","food_notenough",3298,3298,0,0,0,0,0,3298,0,0,0,0,0,"CT",1
"194","food_nr",1957,0,0,0,1957,0,0,0,1957,0,0,0,0,"CT",1
"195","25000>",105498,72553,16837,14151,1957,0,0,92536,8597,4365,0,0,0,"CT",1
"196","25000-34999",65132,50150,7117,7865,0,0,0,46254,18878,0,0,0,0,"CT",1
"197","35000-49999",77049,55319,15941,5789,0,0,0,51345,17021,8683,0,0,0,"CT",1
"198","50000-74999",122604,68747,51871,1986,0,0,0,79130,42161,1313,0,0,0,"CT",1
"199","75000-99999",49941,47964,1977,0,0,0,0,42491,7450,0,0,0,0,"CT",1
"200","100000-149999",84508,65953,16657,1897,0,0,0,63946,17912,2650,0,0,0,"CT",1
"201","150000-199999",44155,34658,7585,1913,0,0,0,40244,2928,983,0,0,0,"CT",1
"202","200000<",94109,74699,14058,5352,0,0,0,90109,1106,2894,0,0,0,"CT",1
"203","income_nr",85961,79503,2691,0,0,0,3767,53865,24980,2388,0,0,4729,"CT",1
"204","Total",100675,63617,22768,8141,1001,4469,678,68616,18389,6664,2872,946,3187,"DC",1
